gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	WT_1_log2CPM	WT_2_log2CPM	WT_3_log2CPM	KO_1_log2CPM	KO_2_log2CPM	KO_3_log2CPM
Gm10031	-0.086726	0.30833	-0.51236	0.6203	0.7756	-6.6149	0.55213	0.38616	0.067147	0.37077	0.41071	0.063057
Gm11703	0.34944	-3.6253	0.51227	0.62036	0.7756	-5.2978	-4.3494	-4.2705	-2.5036	-3.2455	-4.1129	-3.2699
Cldn11	0.86467	-5.7835	0.51225	0.62038	0.7756	-4.9382	-7.5193	-4.2705	-6.5911	-2.0672	-7.2828	-6.9704
Olfm3	0.86467	-5.7835	0.51225	0.62038	0.7756	-4.9382	-7.5193	-4.2705	-6.5911	-2.0672	-7.2828	-6.9704
Gm15785	-0.277	-3.0695	-0.51219	0.62041	0.7756	-5.4341	-3.4319	-2.7965	-2.3431	-2.8496	-3.1953	-3.8004
Etohd2	0.12193	-1.0499	0.51214	0.62045	0.7756	-6.127	-1.1795	-1.2116	-0.86314	-0.83521	-1.2167	-0.99309
Spty2d1	-0.025202	5.7743	-0.51203	0.62052	0.7756	-8.0881	5.8913	5.7387	5.7221	5.7189	5.7696	5.8054
Gm6382	0.13033	-0.84202	0.512	0.62054	0.7756	-6.1995	-0.88997	-1.1736	-0.61378	-0.77917	-1.133	-0.46257
Wdr8	0.026815	4.4458	0.51201	0.62054	0.7756	-7.8899	4.3887	4.381	4.5491	4.4949	4.4007	4.4606
Rasl10b	1.0182	-5.0234	0.51159	0.62082	0.77589	-5.0336	-5.9344	-5.1185	-5.0061	0.17192	-7.2828	-6.9704
D10Wsu52e	0.01856	8.0489	0.51118	0.62109	0.77617	-8.1891	7.985	8.0911	8.0427	8.0334	8.0995	8.0415
1110021L09Rik	0.68099	-5.3499	0.51099	0.62122	0.77623	-4.9891	-5.9344	-5.8554	-5.0061	-2.6354	-7.2828	-5.3854
Dock10	0.026315	8.3825	0.51096	0.62124	0.77623	-8.1899	8.4882	8.2902	8.3294	8.3816	8.451	8.3543
Limch1	0.95626	-5.2423	0.51079	0.62136	0.77632	-5.0041	-7.5193	-5.1185	-3.7837	-0.77917	-7.2828	-6.9704
Pip4k2a	0.015231	5.8306	0.51069	0.62143	0.77634	-8.0943	5.8293	5.8242	5.8149	5.8396	5.8405	5.8352
Abt1	0.022709	3.7451	0.51054	0.62153	0.77634	-7.7273	3.7077	3.755	3.7432	3.7716	3.7568	3.7361
Aipl1	-0.10171	-0.49687	-0.51042	0.62161	0.77634	-6.3229	-0.44252	-0.62021	-0.21602	-0.64793	-0.38796	-0.66659
Mir1198	0.28625	-3.154	0.5104	0.62162	0.77634	-5.4143	-3.8189	-3.5335	-2.3431	-3.406	-2.7592	-3.0635
Gm15720	0.17685	-0.88929	0.51038	0.62163	0.77634	-6.1831	-0.67384	-1.5577	-0.66033	-0.67324	-1.4001	-0.37045
Rsl24d1	0.021584	6.1984	0.51028	0.6217	0.77634	-8.1263	6.1682	6.2108	6.1815	6.1216	6.2686	6.2395
Gm5637	0.072596	1.3002	0.51021	0.62175	0.77634	-6.961	1.3541	1.2909	1.13	1.5914	1.0879	1.347
6430550D23Rik	-0.12415	-0.35272	-0.51018	0.62177	0.77634	-6.3741	-0.37978	-0.24071	-0.14812	0.068823	-0.71292	-0.70358
Spnb1	0.36381	-2.0548	0.51006	0.62185	0.77636	-5.7572	-2.39	-1.6075	-2.5036	-0.23603	-2.5279	-3.0635
Rbak	-0.026056	3.9725	-0.51001	0.62189	0.77636	-7.7848	3.9978	3.9664	3.9986	3.9365	4.0476	3.8884
Snord69	-0.081464	0.33146	-0.50965	0.62213	0.7766	-6.6247	0.51959	0.39882	0.17712	0.41947	0.41071	0.063057
Iqsec3	1.0458	-5.1685	0.50953	0.62221	0.77665	-5.0111	-5.9344	-4.2705	-6.5911	0.037962	-7.2828	-6.9704
Gm8865	0.20802	-2.0864	0.50912	0.62248	0.77693	-5.7478	-2.4749	-2.5824	-1.2335	-1.9388	-2.0733	-2.2155
Unc79	0.88098	-4.8882	0.50858	0.62285	0.77732	-5.0529	-4.712	-4.633	-6.5911	-0.72523	-7.2828	-5.3854
Amd-ps4	0.23737	-2.8199	0.50833	0.62302	0.77747	-5.5066	-2.6614	-2.7965	-3.4211	-2.449	-2.5279	-3.0635
Aspscr1	0.018816	5.5973	0.50825	0.62307	0.77747	-8.0713	5.5998	5.5292	5.6393	5.6028	5.5955	5.6172
4933431E20Rik	-0.65534	-3.5641	-0.50762	0.6235	0.77794	-5.3005	-2.9958	-3.7399	-2.3431	-0.37448	-4.9608	-6.9704
Zfp511	-0.032183	3.5728	-0.50727	0.62373	0.77818	-7.6836	3.5582	3.6857	3.5135	3.5517	3.6457	3.4819
Gm13933	0.19298	-1.5008	0.50704	0.62389	0.77826	-5.9632	-1.4108	-0.96465	-2.6842	-1.2266	-1.1743	-1.5441
Timm9	-0.028218	4.8476	-0.50702	0.6239	0.77826	-7.9677	4.8006	4.7959	5.0121	4.8243	4.8481	4.8048
Ftsjd2	-0.035747	3.0889	-0.50677	0.62407	0.77831	-7.5462	3.1487	3.0015	3.1854	3.0074	3.1591	3.031
Gbas	-0.019772	5.1956	-0.50668	0.62413	0.77831	-8.0218	5.1869	5.1842	5.2525	5.1686	5.2356	5.1457
Blmh	-0.017166	6.835	-0.50666	0.62414	0.77831	-8.1669	6.8643	6.8713	6.7922	6.8016	6.8222	6.8587
Tcfe3	-0.020275	5.7602	-0.50661	0.62418	0.77831	-8.0896	5.7593	5.8068	5.7424	5.7036	5.8203	5.729
Zfp458	-0.048541	2.0004	-0.5066	0.62418	0.77831	-7.1992	2.1794	1.9194	1.9674	2.0592	1.9436	1.9335
Wdr77	0.014578	7.3026	0.50653	0.62423	0.77831	-8.183	7.3121	7.296	7.2773	7.3003	7.3303	7.2994
Tmem115	0.024399	4.3898	0.50643	0.6243	0.77833	-7.8814	4.3012	4.3937	4.4499	4.3618	4.4353	4.3965
Adat3	0.095018	0.33472	0.50628	0.6244	0.77837	-6.6278	0.34485	-0.056681	0.64734	0.35833	0.20104	0.51345
Cdca5	-0.022824	5.9142	-0.50619	0.62446	0.77837	-8.1047	5.8931	6.0179	5.8589	5.8695	5.9072	5.9386
Srsf9	0.020177	5.7339	0.50616	0.62448	0.77837	-8.0871	5.7081	5.6761	5.7918	5.6978	5.7621	5.7671
Fbxo18	0.016114	6.7443	0.50604	0.62456	0.7784	-8.1629	6.7656	6.7226	6.72	6.7403	6.7889	6.7284
Eif2ak1	0.015565	6.3351	0.50598	0.62461	0.7784	-8.1386	6.3482	6.3312	6.3013	6.3459	6.3623	6.3218
1700030K09Rik	-0.024989	4.0476	-0.50571	0.62479	0.77857	-7.8051	4.0135	4.0689	4.0981	3.9808	4.0147	4.1098
0610007P14Rik	0.018433	5.9774	0.50538	0.62501	0.77879	-8.1108	5.9188	6.0271	5.9575	5.9766	5.9827	6.0017
Zfp455	-0.039362	2.6535	-0.50518	0.62514	0.77885	-7.4125	2.751	2.6511	2.5864	2.6474	2.5294	2.7559
Ap3s1-ps2	-0.094866	1.3257	-0.50516	0.62516	0.77885	-6.9728	1.5278	1.4992	1.0014	1.5372	0.91198	1.4767
SNORA21	-0.27444	-2.9016	-0.505	0.62527	0.77892	-5.4863	-2.1618	-3.1925	-3.1316	-3.5865	-2.8905	-2.4468
Apba1	0.27916	-1.2265	0.50487	0.62535	0.77897	-6.0663	-1.0436	-1.1005	-1.9472	0.24129	-1.6681	-1.8411
Tbc1d17	0.028203	5.0619	0.50462	0.62552	0.77897	-8.0033	4.9311	5.0657	5.1659	5.0852	5.0958	5.0279
Gm10039	0.17526	-1.591	0.50453	0.62558	0.77897	-5.9363	-1.6864	-2.0828	-1.0992	-1.2646	-1.9974	-1.4158
Sf3b5	-0.036666	4.0874	-0.50454	0.62558	0.77897	-7.8151	4.0319	4.0165	4.3106	4.1116	3.9986	4.0555
Pelo	0.040511	2.7278	0.50449	0.62561	0.77897	-7.4364	2.6189	2.7081	2.8289	2.6877	2.8657	2.6572
Casc5	0.034082	6.7409	0.50445	0.62564	0.77897	-8.1635	6.8913	6.5943	6.6832	6.7109	6.8142	6.7517
Pcyt1b	-0.12806	-0.56534	-0.50443	0.62565	0.77897	-6.3015	-0.72492	-0.28051	-0.40124	-0.21729	-0.77498	-0.99309
Zdhhc12	0.037951	3.6195	0.50422	0.62579	0.77909	-7.6977	3.5244	3.5247	3.8045	3.6995	3.6037	3.56
2900076A07Rik	0.04776	1.7457	0.50409	0.62588	0.77913	-7.1153	1.7023	1.6338	1.856	1.785	1.6568	1.8402
Slc4a3	0.52558	-2.8582	0.50384	0.62605	0.77928	-5.4972	-3.6124	-2.3111	-3.1316	-0.18054	-4.1129	-3.8004
Ccr3	0.12174	-1.1571	0.50358	0.62623	0.77939	-6.094	-1.2905	-1.2906	-0.97635	-0.95426	-1.133	-1.2979
Fnbp1	-0.015874	7.8538	-0.50357	0.62623	0.77939	-8.1924	7.8942	7.8313	7.8598	7.8247	7.8792	7.8338
4632419I22Rik	-0.018092	6.9912	-0.50337	0.62637	0.77944	-8.1753	7.048	6.9679	6.9834	6.9326	7.0123	7.0027
Lipc	-0.30052	-3.264	-0.50336	0.62637	0.77944	-5.3894	-3.127	-2.6855	-3.7837	-4.034	-3.3759	-2.578
Scn1a	1.0407	-5.0907	0.50293	0.62666	0.77965	-5.0268	-7.5193	-3.7399	-5.0061	-0.025814	-7.2828	-6.9704
Ppil1	-0.016967	6.437	-0.5029	0.62669	0.77965	-8.1471	6.3989	6.4437	6.4972	6.4246	6.4329	6.4248
Rian	1.3614	-4.2277	0.50289	0.62669	0.77965	-5.1704	-7.5193	-2.7965	-3.4211	2.6242	-7.2828	-6.9704
Gm15470	0.19317	-2.0235	0.50266	0.62685	0.77977	-5.7733	-1.8469	-2.4862	-1.9472	-1.5161	-2.3286	-2.0162
Cap1	-0.016052	8.2982	-0.5026	0.62689	0.77977	-8.1944	8.3066	8.3389	8.2731	8.2724	8.326	8.2721
Gm5582	0.19832	-1.7759	0.50246	0.62698	0.77983	-5.8666	-1.497	-2.5824	-1.4618	-1.5627	-2.0733	-1.4785
Gm14200	0.1843	-2.11	0.50231	0.62709	0.7799	-5.7421	-2.5651	-2.0141	-1.9472	-1.8787	-2.3286	-1.926
Ric3	0.23997	-1.1616	0.50216	0.62718	0.77996	-6.0926	-1.3696	-1.1005	-1.2335	0.068823	-1.8565	-1.4785
Hace1	0.021436	4.7027	0.50204	0.62727	0.78	-7.9449	4.7559	4.6815	4.6263	4.7157	4.6977	4.7391
Plbd2	0.020725	5.6766	0.50183	0.62741	0.78009	-8.0835	5.6719	5.6045	5.7306	5.7313	5.6705	5.651
Abr	-0.018001	7.3427	-0.50179	0.62744	0.78009	-8.1865	7.3962	7.3422	7.3157	7.3041	7.3873	7.3105
Rai12	0.024366	5.5937	0.50154	0.6276	0.78023	-8.0745	5.49	5.6774	5.576	5.5765	5.6145	5.6279
Eef1a2	1.2185	-4.7097	0.50142	0.62769	0.78024	-5.0846	-7.5193	-2.7965	-5.0061	1.3172	-7.2828	-6.9704
Lrrc58	-0.0253	6.5294	-0.50139	0.6277	0.78024	-8.1536	6.6616	6.4711	6.4896	6.4856	6.5486	6.5199
Spa17	-0.076886	0.27873	-0.50122	0.62782	0.78031	-6.61	0.21538	0.46048	0.2793	0.20007	0.41071	0.10645
Mzt1	0.016439	6.6686	0.50116	0.62786	0.78031	-8.1616	6.6812	6.6679	6.6295	6.6534	6.6589	6.7208
Gm2058	-0.13939	-1.5028	-0.50103	0.62795	0.78036	-5.9706	-1.4108	-1.2906	-1.6369	-1.3437	-1.7909	-1.5441
1700122E12Rik	0.097753	-0.70884	0.50093	0.62802	0.78038	-6.2521	-0.69915	-0.78217	-0.8097	-0.62305	-0.74362	-0.59533
Sparcl1	1.5812	-4.3554	0.50077	0.62813	0.78046	-5.1369	-7.5193	-0.84047	-6.5911	3.0717	-7.2828	-6.9704
Samd5	0.2402	-2.7082	0.50034	0.62842	0.78071	-5.5447	-2.8755	-2.7965	-2.6842	-1.9388	-2.8905	-3.0635
Eif4g2	0.019341	10.412	0.50025	0.62848	0.78071	-8.1903	10.481	10.367	10.36	10.396	10.449	10.421
Gng10	0.18853	-1.4643	0.50024	0.62849	0.78071	-5.9848	-1.0436	-2.3111	-1.3057	-1.4273	-1.6104	-1.0877
Tmem38a	0.056985	1.8724	0.50018	0.62853	0.78071	-7.1599	1.7498	1.9281	1.8887	2.1046	1.7424	1.8208
Gm6887	-0.21875	-2.0657	-0.50008	0.6286	0.78073	-5.7564	-1.7914	-2.2309	-1.6369	-1.4273	-2.4248	-2.8829
Dazap1	0.025854	6.2569	0.49976	0.62881	0.78093	-8.1364	6.1972	6.1779	6.3659	6.2344	6.3293	6.2371
SNORD20	0.17583	-1.8019	0.4997	0.62885	0.78093	-5.8562	-1.9046	-1.8257	-2.0675	-2.208	-1.4499	-1.3557
Grin2c	0.89091	-5.446	0.49951	0.62898	0.78098	-4.9798	-7.5193	-4.633	-5.0061	-1.2646	-7.2828	-6.9704
Cplx2	1.3455	-4.2342	0.49949	0.62899	0.78098	-5.1707	-7.5193	-2.7965	-3.4211	2.5847	-7.2828	-6.9704
Tnfrsf25	-0.11484	-0.4827	-0.49916	0.62922	0.78114	-6.334	-0.60047	-0.20198	-0.44132	-0.21729	-0.83983	-0.59533
Pdzd7	0.32508	-3.6405	0.49915	0.62923	0.78114	-5.2998	-3.8189	-3.981	-3.4211	-2.6354	-3.8233	-4.163
Gm4968	0.17898	-0.99338	0.499	0.62933	0.78121	-6.1537	-1.1099	-1.4631	-0.52498	-0.52763	-1.6681	-0.66659
Spag5	-0.019956	6.9126	-0.49885	0.62943	0.78128	-8.1745	6.8888	6.9802	6.8974	6.8501	6.9634	6.8955
Gm7722	0.19651	-2.2317	0.49876	0.62949	0.78129	-5.7006	-2.4749	-2.4862	-1.9472	-2.0016	-2.6389	-1.8411
Grinl1a	0.015954	7.4612	0.49831	0.6298	0.78161	-8.1907	7.4441	7.4834	7.4317	7.434	7.5057	7.4684
Fibp	-0.029626	5.2856	-0.49818	0.62988	0.78164	-8.0387	5.2211	5.3047	5.393	5.3016	5.3477	5.1457
Rpl3l	-0.074425	0.18507	-0.49809	0.62994	0.78164	-6.5777	0.34485	0.19624	0.067147	0.099038	0.13507	0.26804
Fndc5	0.68354	-4.2555	0.49798	0.63002	0.78164	-5.1694	-5.1974	-3.3529	-5.0061	-0.89351	-5.6978	-5.3854
Gm15590	0.084992	2.6258	0.49796	0.63003	0.78164	-7.4074	2.6568	2.4098	2.7013	2.8674	2.2151	2.9046
Cdh18	0.78318	-5.9387	0.4979	0.63007	0.78164	-4.9272	-7.5193	-4.633	-6.5911	-2.6354	-7.2828	-6.9704
Ftl2	-0.1594	-1.2469	-0.49777	0.63016	0.78169	-6.0655	-1.1795	-0.72614	-1.7331	-0.98562	-1.6681	-1.189
Gria4	0.99586	-5.0821	0.49763	0.63026	0.78175	-5.031	-7.5193	-4.2705	-4.2691	-0.18054	-7.2828	-6.9704
Trim33	0.022549	6.9012	0.49744	0.63038	0.78184	-8.1747	6.9906	6.8294	6.8471	6.8757	6.939	6.9251
Ppp1r9a	0.57198	-2.4323	0.49736	0.63044	0.78185	-5.6304	-2.5651	-2.396	-2.8906	0.64101	-4.1129	-3.2699
1110020A21Rik	0.10017	-0.16851	0.49698	0.6307	0.78211	-6.4483	-0.4213	0.090996	-0.32428	0.068823	-0.24935	-0.17595
Hmbs	-0.023443	5.7481	-0.49666	0.63091	0.78232	-8.0938	5.662	5.7985	5.8271	5.7756	5.7015	5.7242
Ephx4	0.76152	-5.8197	0.49612	0.63128	0.78258	-4.9394	-5.9344	-5.8554	-6.5911	-2.284	-7.2828	-6.9704
Hcls1	-0.019166	7.6691	-0.49612	0.63128	0.78258	-8.1948	7.6111	7.7533	7.6714	7.6561	7.6748	7.6475
Gabra1	1.1561	-4.6454	0.49609	0.6313	0.78258	-5.0997	-7.5193	-3.5335	-3.7837	1.2174	-7.2828	-6.9704
Stradb	-0.020542	4.5277	-0.49602	0.63135	0.78258	-7.9151	4.502	4.5178	4.6031	4.4899	4.5193	4.534
D830039M14Rik	-0.1401	-0.32963	-0.49593	0.63141	0.78258	-6.3894	-0.28093	-0.26048	-0.08327	0.17192	-0.43729	-1.0877
Nt5c2	0.017796	6.5401	0.49588	0.63145	0.78258	-8.1572	6.5737	6.5418	6.4752	6.5372	6.5871	6.5259
Map1lc3b	0.014381	7.0037	0.49584	0.63147	0.78258	-8.1797	6.97	7.0176	7.0022	7.012	7.0089	7.0115
AC122119.1	0.1767	-2.0277	0.49521	0.6319	0.78305	-5.7739	-1.9046	-2.2309	-2.3431	-2.1359	-2.0733	-1.4785
Bcl9	-0.020624	5.8064	-0.49511	0.63197	0.78307	-8.1005	5.8455	5.7539	5.8542	5.7626	5.856	5.7662
Smt3h2-ps2	0.23553	-2.911	0.49488	0.63212	0.7832	-5.4877	-3.4319	-2.6855	-2.8906	-2.6354	-2.7592	-3.0635
Herc6	-0.017821	5.1037	-0.49457	0.63234	0.78341	-8.015	5.1284	5.1154	5.0897	5.058	5.1301	5.1008
Mtrf1l	0.026255	3.5593	0.49436	0.63248	0.7835	-7.6868	3.5488	3.5174	3.5675	3.5016	3.5791	3.6416
Bckdhb	-0.022726	3.749	-0.49427	0.63254	0.7835	-7.7372	3.7713	3.7339	3.7742	3.7203	3.7109	3.7837
Keap1	-0.017841	5.8	-0.49423	0.63256	0.7835	-8.1003	5.805	5.7671	5.8594	5.77	5.8236	5.7751
2610206C17Rik	-0.60591	-4.2988	-0.49413	0.63263	0.78352	-5.163	-4.712	-4.633	-2.6842	-7.4934	-3.8233	-2.4468
Rwdd2a	0.068885	1.2222	0.49402	0.63271	0.78354	-6.9434	1.212	1.1706	1.2355	1.4637	1.3208	0.9305
Gm4991	-0.22166	-2.3745	-0.4939	0.63279	0.78354	-5.6527	-2.7644	-2.2309	-1.6369	-2.3641	-3.0349	-2.2155
Tmod1	-0.5201	-3.5803	-0.49389	0.6328	0.78354	-5.312	-2.39	-3.981	-3.4211	-1.3437	-5.6978	-4.6484
Tmem14a	-0.048286	1.688	-0.49362	0.63298	0.78371	-7.1015	1.7357	1.6122	1.831	1.7038	1.72	1.5255
Mir343	0.2145	-2.5586	0.49292	0.63346	0.78424	-5.5932	-2.4749	-2.4862	-3.1316	-2.5392	-1.9974	-2.7224
Cdk19	0.018222	7.1126	0.49282	0.63352	0.78426	-8.1851	7.172	7.0543	7.083	7.1201	7.1007	7.1454
Gm9387	-0.24577	-2.8803	-0.49272	0.63359	0.78428	-5.498	-2.4749	-2.7965	-3.1316	-2.8496	-3.5823	-2.4468
Copg2	-0.016658	6.7776	-0.49262	0.63366	0.7843	-8.1718	6.8315	6.7936	6.7299	6.773	6.7758	6.7615
Cdkl5	0.68725	-4.9177	0.49253	0.63372	0.7843	-5.0575	-5.9344	-4.633	-5.0061	-2.0016	-7.2828	-4.6484
Rexo4	-0.018196	5.9325	-0.49248	0.63376	0.7843	-8.1137	5.9266	5.9907	5.9055	5.9185	5.9662	5.8874
Gm12941	0.27426	-3.3036	0.49207	0.63403	0.78453	-5.3827	-3.4319	-3.5335	-3.4211	-3.793	-2.7592	-2.8829
Dcaf12	0.016	6.3482	0.49206	0.63404	0.78453	-8.147	6.3306	6.3549	6.3332	6.3177	6.3562	6.3964
Chd4	-0.017186	9.33	-0.49186	0.63418	0.7846	-8.1999	9.3772	9.3059	9.3328	9.2925	9.375	9.2968
SNORD62	0.17868	-2.2054	0.49183	0.6342	0.7846	-5.7134	-2.4749	-2.2309	-2.0675	-1.9388	-2.0733	-2.4468
Gm17388	-0.072546	0.37907	-0.49167	0.6343	0.78467	-6.6513	0.25546	0.55397	0.46422	0.33313	0.43832	0.22931
Mpdu1	-0.024851	5.9003	-0.49125	0.6346	0.78497	-8.1114	5.7965	5.9691	5.9771	5.8703	5.862	5.9265
0610043K17Rik	-0.16554	-1.9871	-0.49078	0.63491	0.78514	-5.7921	-1.8469	-2.155	-1.6369	-1.9388	-2.3286	-2.0162
SNORA48	-0.055009	1.6781	-0.49069	0.63497	0.78514	-7.0997	1.6177	1.8052	1.699	1.5591	1.8542	1.5335
Gm7658	-0.08956	0.17824	-0.49064	0.63501	0.78514	-6.5789	0.22886	0.18167	0.2793	0.35833	-0.2275	0.2488
Asb8	0.017164	5.6506	0.49061	0.63503	0.78514	-8.0867	5.6517	5.6618	5.6101	5.6485	5.7029	5.6284
Txnrd3	-0.037494	3.0243	-0.4906	0.63503	0.78514	-7.5355	3.12	3.1075	2.8704	3.0331	3.089	2.926
Gm13855	-0.26864	-3.1233	-0.4906	0.63504	0.78514	-5.4315	-2.39	-3.5335	-3.1316	-3.5865	-3.0349	-3.0635
Lsm10	0.030051	4.1622	0.49054	0.63508	0.78514	-7.84	4.0222	4.2527	4.1746	4.1661	4.2015	4.1557
D4Ertd22e	-0.013815	7.1794	-0.49043	0.63515	0.78517	-8.1885	7.1808	7.1748	7.2037	7.1665	7.1662	7.1844
A530064D06Rik	0.11748	-1.0971	0.49019	0.63531	0.7852	-6.1214	-1.3696	-0.99744	-1.0992	-1.1896	-0.979	-0.948
Gm10086	0.099319	-0.64551	0.49018	0.63532	0.7852	-6.2801	-0.67384	-0.57002	-0.86314	-0.4166	-0.68286	-0.66659
RP23-115O3.9	-0.086345	0.20655	-0.49015	0.63534	0.7852	-6.5893	0.42904	-0.056681	0.42016	0.17192	0.16843	0.10645
Pabpc1l	0.10899	-0.51771	0.4901	0.63537	0.7852	-6.3256	-0.72492	-0.36357	-0.66033	-0.699	-0.16384	-0.49463
RNase_MRP	0.20003	-2.4645	0.48976	0.63561	0.78543	-5.6259	-2.3099	-2.6855	-2.6842	-2.0016	-2.5279	-2.578
Eps8l1	-0.027383	3.8418	-0.48937	0.63587	0.78569	-7.7634	3.9169	3.8058	3.8299	3.7468	3.8727	3.879
Mmp23	0.072842	0.37396	0.48909	0.63607	0.78586	-6.6509	0.24222	0.28071	0.50697	0.25477	0.38256	0.57653
Tmem221	0.071535	0.63956	0.48897	0.63615	0.78586	-6.7451	0.6151	0.78362	0.37472	0.85088	0.60597	0.60706
Rims4	0.95965	-5.0838	0.48893	0.63617	0.78586	-5.0344	-7.5193	-4.633	-3.7837	-0.31351	-7.2828	-6.9704
Gfra1	0.35878	-3.3548	0.48888	0.63621	0.78586	-5.371	-3.2714	-3.5335	-3.7837	-2.0016	-4.4754	-3.0635
Mfsd7a	-0.17613	-2.1437	-0.48874	0.6363	0.78591	-5.7372	-1.7914	-2.0141	-2.5036	-2.208	-2.3286	-2.0162
Snord49a	0.10499	-0.1602	0.48868	0.63635	0.78591	-6.4557	-0.11845	-0.20198	-0.28728	-0.0096034	0.21707	-0.56098
A130010J15Rik	0.027583	3.447	0.48855	0.63643	0.78596	-7.659	3.5093	3.4121	3.3558	3.4232	3.4912	3.4901
Gspt1	0.015634	8.206	0.48824	0.63664	0.78615	-8.2019	8.2388	8.1776	8.1783	8.1871	8.2449	8.2096
Zcchc9	-0.019617	4.8481	-0.48809	0.63674	0.78621	-7.9779	4.8202	4.918	4.8315	4.845	4.8195	4.8542
Wdr33	0.020526	6.7264	0.48787	0.6369	0.78634	-8.1717	6.7336	6.6388	6.78	6.7392	6.7768	6.6902
Pip5kl1	0.31375	-3.3048	0.48771	0.637	0.78641	-5.385	-2.7644	-4.633	-2.8906	-3.1011	-3.3759	-3.0635
Rab40b	0.49446	-4.1157	0.4876	0.63708	0.78641	-5.2029	-4.712	-4.633	-3.4211	-2.0672	-5.6978	-4.163
Fanci	-0.016163	5.4589	-0.48757	0.6371	0.78641	-8.0664	5.4826	5.4727	5.4413	5.4279	5.453	5.4759
Gm10119	-0.048859	2.349	-0.48747	0.63717	0.78643	-7.324	2.3246	2.4559	2.3426	2.4881	2.1287	2.3538
Prnp	1.2182	-4.6972	0.48736	0.63725	0.78647	-5.0888	-5.9344	-3.0481	-6.5911	1.6436	-7.2828	-6.9704
Ift140	0.015629	5.8287	0.48728	0.6373	0.78647	-8.1067	5.8539	5.8014	5.8058	5.8281	5.8512	5.8319
Gabarapl2	-0.021383	5.2246	-0.48718	0.63737	0.78648	-8.0363	5.2544	5.1801	5.2712	5.1752	5.1779	5.2885
Mphosph8	0.018361	5.6153	0.48712	0.63741	0.78648	-8.0846	5.6464	5.5915	5.576	5.5779	5.6676	5.6326
Gm15683	-0.22703	-2.9811	-0.48662	0.63775	0.78679	-5.4718	-2.9958	-2.6855	-2.8906	-2.8496	-3.1953	-3.2699
Gm12689	-0.30644	-3.343	-0.48659	0.63777	0.78679	-5.3752	-4.0599	-2.6855	-2.6842	-3.793	-3.0349	-3.8004
Cldn15	0.036236	2.6534	0.48653	0.63781	0.78679	-7.4223	2.5826	2.7132	2.5864	2.5821	2.6902	2.766
Lrp3	0.83951	-5.5334	0.48622	0.63802	0.78692	-4.9726	-5.1974	-5.8554	-6.5911	-1.3036	-7.2828	-6.9704
Gm13456	-0.040406	5.7576	-0.48615	0.63807	0.78692	-8.1003	5.8645	5.707	5.7579	5.8429	5.5228	5.8504
Lrsam1	0.025668	3.3727	0.48611	0.6381	0.78692	-7.6396	3.3222	3.35	3.4271	3.3961	3.4063	3.3346
Slc41a1	0.018956	5.2627	0.48608	0.63811	0.78692	-8.042	5.2622	5.201	5.3026	5.2988	5.2342	5.2773
Dact1	0.18079	-1.7414	0.48572	0.63837	0.78715	-5.8876	-1.4532	-2.4862	-1.5467	-1.8787	-1.7282	-1.3557
Snap91	1.0336	-5.2591	0.48564	0.63842	0.78715	-5.0067	-7.5193	-2.9168	-6.5911	-0.27425	-7.2828	-6.9704
Gm17430	0.17589	-1.2042	0.48556	0.63847	0.78715	-6.0862	-1.1443	-1.5577	-1.0992	-0.57456	-1.8565	-0.99309
4930594M22Rik	0.26907	-2.8578	0.48553	0.63849	0.78715	-5.5069	-2.8755	-3.5335	-2.5036	-2.5392	-3.5823	-2.1124
Klhl35	-0.11583	-0.922	-0.48534	0.63863	0.78725	-6.1862	-0.98017	-0.6722	-0.91864	-0.699	-1.1743	-1.0877
Lrrc47	-0.018443	6.5865	-0.48509	0.63879	0.78733	-8.1657	6.5602	6.6646	6.5601	6.5452	6.6053	6.5836
Atcay	0.99908	-4.9497	0.48501	0.63885	0.78733	-5.0558	-7.5193	-4.2705	-3.7837	0.12863	-7.2828	-6.9704
Zcchc18	1.0098	-4.8695	0.4849	0.63893	0.78733	-5.0668	-5.9344	-4.633	-5.0061	0.60987	-7.2828	-6.9704
Abcd3	0.017958	5.5492	0.48487	0.63894	0.78733	-8.0784	5.5975	5.518	5.4994	5.5402	5.5637	5.5763
Papd7	-0.021955	4.9095	-0.48488	0.63894	0.78733	-7.9898	5.002	4.8958	4.8545	4.8981	4.9325	4.8739
Stxbp2	0.016448	8.007	0.48467	0.63908	0.78744	-8.2032	7.939	8.023	8.0345	8.0144	8.0311	8
Kctd21	0.042059	2.0275	0.48451	0.63919	0.78751	-7.2199	2.0787	2.0252	1.9048	2.1594	2.0278	1.9692
Rapgefl1	0.28893	-1.1755	0.48433	0.63932	0.78761	-6.097	-1.2156	-1.3319	-1.1648	0.46658	-1.7909	-2.0162
Myo9a	-0.032943	5.1008	-0.48411	0.63946	0.78766	-8.0201	5.2826	5.0039	5.0532	5.0445	5.1162	5.1041
Gnao1	1.2038	-4.7032	0.48407	0.63949	0.78766	-5.0892	-5.9344	-3.0481	-6.5911	1.6072	-7.2828	-6.9704
Clasp1	0.027338	6.5774	0.48405	0.63951	0.78766	-8.1656	6.6864	6.4651	6.5381	6.5587	6.6618	6.5541
